Aidong Zhang
Names
Dr. Donald Kossmann
Prof. Bing Liu
Dr. Naoki Abe
Prof. Huan Liu
Prof. Calton Pu
Prof. Kisung Lee
Prof. Jiliang Tang
Dr. Nesreen Ahmed
Dr. Mu Qiao
Dr. Yang Song
Prof. Jingrui He
Prof. Jeffrey Saltz
Prof. Honggang Wang
Dr. Lingfei (Teddy) Wu
Prof. Mohammad Al Hasan (Hasan)
Prof. Yicheng Tu
Prof. Michael Gubanov
Prof. Xia (Ben) Hu
Prof. Xiaohua Tony Hu
Dr. Mengwen Liu
Dr. Zunyan Xiong
Prof. Yuan An
Prof. Hyoil Han
Prof. Alfredo Cuzzocrea
Prof. Dominik Slezak
Prof. Feng Chen
Dr. Amr Awadallah
Dr. Xueqi Cheng
Prof. Yi-ke Guo
Prof. Jimmy Lin
Prof. Xiaohua Tony Hu (Chair) (
)
Dr. Raghunath Nambiar
Prof. Jian Pei
Prof. Vijay Raghavan
Prof. Amit Sheth
Prof. Matthew Smith
Dr. Shusaku Tsumoto
Prof. Athanasios Vasilakos
Prof. Qiang Yang
Pro. Wei Wang
Name
Karl Aberer
Danilo Ardagna
Peter Baumann
Albert Bifet
Nozha Boujemaa
Ricardo J. G. B. Campello
Barbara Carminati
Philip Chan
Edward Chang
Nitesh Chawla
Sanjay Chawla
Keke Chen
Lei Chen
Shu-Ching Chen
Wei Chen
Reynold Cheng
Xueqi Cheng
Gao Cong
Bin Cui
Alfredo Cuzzocrea
Ernesto Damiani
Gautam Das
Xiaoyong DU
Joao Eduardo Ferreira
Avigdor Gal
Dimitrios Geogakopoulos
Dimitrios Gunopulos
Jiawei Han
Wook-Shin Han
Bingsheng He
Teruo Higashino
Jimmy Huang
Hai Jin
Panos Kalnis
Vana Kalogeraki
George Karypis
Latifur Khan
Taghi Khoshgoftaar
Irwin King
Dongwon Lee
Guoliang Li
Ee-Peng Lim
Eric Lo
Jay Lofstead
Bradley Malin
Hiroshi Mamitsuka
Wagner Meira
John Miller
Shinichi Morishita
Dimitrios Nikolopoulos
Beng Chin Ooi
M. Tamer Ozsu
Balaji Palanisamy
Barbara Pernici
Evaggelia Pitoura
Lakshmish Ramaswamy
Huzefa Rangwala
Berthold Reinwald
Rizos Sakellariou
Pierangela Samarati
Amit Sheth
Kyuseok Shim
Alkis Simitsis
Domenico Talia
Jie Tang
Hanghang Tong
Masashi Toyoda
Hong-Linh Truong
Vincent Tseng
Vassilis J. Tsotras
Fei Wang
Ke Wang
Liqiang Wang
Wei Wang
Ji-Rong Wen
Feng Xia
Xing Xie
Guansong Xu
Jianliang Xu
Jian Yang
Jianwei Yin
Philip S. Yu
Xin Yuan
Jiayu Zhou
Hill Zhu
Yanmin Zhu
Name
James Abello
Ankit Agrawal
Gail-Joon Ahn
Walid Aref
Chris Argenta
Antonio Badia
Nathalie Baracaldo
Gustavo Batista
Roberto J. Bayardo
David Belanger
Martin Berzins
Larbi Boubchir
Mario Bravetti
Hoang Bui
Ali R. Butt
Surendra Byna
Jiannong Cao
Lei Cao
Cinzia Cappiello
Cornelia Caragea
David Carrera
Paolo Ceravolo
Chengliang Chai
Abhishek Chandra
Lijun Chang
Lin-Ching Chang
Rong Chang
Dong Chen
Feng Chen
Haopeng Chen
Muhao Chen
Shiping Chen
Yong Chen
Yueguo Chen
Zehua Chen
Zhengzhang Chen
Zhiyuan Chen
Malolan Chetlur
Kenneth Chiu
Wonik Choi
Michele Ciavotta
Andrea Clematis
Pietro Colombo
Ayse Coskun
Alexandru Costan
Daniel Crichton
Edward Curry
Brian D. Davison
Miyuru Dayarathna
Noel De Palma
Eduard Deagut
Boris Delibasic
Alex Delis
Marios Dikaiakos
Junhua Ding
Wanying Ding
Xiaoning Ding
Nemanja Djuric
Matthieu Dorier
Zhicheng Dou
Boxin Du
Nick Duffield
Dmitry Duplyakin
Roee Ebenstein
Magdalini Eirinaki
Toshio Endo
Miki Enoki
Ju Fan
Yi Fang
Jose Fortes
Dmitriy Fradkin
Vanessa Frias-Martinez
Ada Wai-Chee Fu
Yun Fu
Paul Suganthan G C
Jacob Gao
Hancheng Ge
Felix Gessert
Mohamed Ghalwash
Gabriele Gianini
Harald Gjermundrod
Anastasios Gounaris
Jane Greenberg
Paul Grefen
Clemens Grelck
Le Gruenwald
Michael Gubanov
Jayant Gupchup
Amarnath Gupta
Vijay K. Gurbani
Jialong Han
Masatoshi Hanai
Mohammad Hasan
Daqing He
Keijo Heljanko
Nguyen Ho
Hiroshi Horii
Vivian Hu
Xia Hu
Chao Huang
Fabrice Huet
Marty Humphrey
Hiroshi Inoue
Kazuaki Ishizaki
Arash Jalal Zadeh Fard
Saltz Jeffrey
Ruoming Jin
Milos Jovanovic
Alexander Jung
David Kaeli
Zoi Kaoudi
Hamid Karimi
Kiyokuni Kawachiya
Hideyuki Kawashima
Yiping Ke
Vlado Keselj
Jinha Kim
Xiangjie Kong
Amey Kulkarni
Eren Kursun
Alberto Laender
Zhiling Lan
Jack Lange
Alexey Lastovetsky
Alexander Lazovik
Jinsoo Lee
Wang-Chien Lee
Chengkai Li
Jundong LI
Pan Li
Sheng Li
Xue Li
Yandong Li
Zhanhuai Li
Zhixu Li
Zhoujun Li
Defu Lian
Hongwei Liang
Lipyeow Lim
Kaixiang Lin
An Liu
Chengfei Liu
Haishan Liu
Hongfu Liu
Yang Liu
zhining liu
Zitao Liu
Cheng Long
Dr. Shiyong Lu
Wei Lu
feng luo
Qiong Luo
Kwan-Liu Ma
Yao Ma
Sanjay Madria
Tiziana Margaria
Fabrizio Marozzo
Mohammad Masud
George Mathew
Satoshi Matsuoka
Edgar Meij
Christoph Meinel
"Wagner Meira, Jr."
Ningfang Mi
Taneli Mielikainen
Alessandro Moschitti
Sebastien Mosser
Abdullah Mueen
Aibek Musaev
Azad Naik
Hidemoto Nakada
Surya Nepal
Jingchao Ni
Jian-Yun Nie
Nikola Nikolov
Alexandros Ntoulas
Dana Petcu
Sumit Purohit
Baojun Qiu
Judy Qiu
Shannon Quinn
Christoph Quix
Vladan Radosavljevic
Jan Ramon
Stephan Reiff-Marganiec
Abdelmounaam Rezgui
Philip Rhodes
Uwe Roehm
Aki-Hiro Sato
Bruno Schulze
Matthias Schunter
Yingxia Shao
Saeedeh Shekarpour
Haiying Shen
Xiang Sheng
Conglei Shi
Weidong Shi
Lidan Shou
Fengguang Song
Guojie Song
Shaoxu Song
Torsten Suel
Aixin Sun
Guangzhong Sun
Hailong Sun
Ichigaku Takigawa
Douglas Talbert
Pang-Ning Tan
Gabriel Tanase
Shanjiang Tang
Yusuke TANIMURA
Dimitrios Tsoumakos
