Names
Dr. Donald Kossmann
Prof. Bing Liu
Dr. Naoki Abe
Prof. Huan Liu
Prof. Calton Pu
Prof. Kisung Lee
Prof. Jiliang Tang
Dr. Nesreen Ahmed
Dr. Mu Qiao
Dr. Yang Song
Prof. Jingrui He
Prof. Jeffrey Saltz
Prof. Honggang Wang
Dr. Lingfei (Teddy) Wu
Prof. Mohammad Al Hasan (Hasan)
Prof. Yicheng Tu
Prof. Michael Gubanov
Prof. Xia (Ben) Hu
Prof. Xiaohua Tony Hu
Dr. Mengwen Liu
Dr. Zunyan Xiong
Prof. Yuan An
Prof. Hyoil Han
Prof. Alfredo Cuzzocrea
Prof. Dominik Slezak
Prof. Feng Chen
Dr. Amr Awadallah
Dr. Xueqi Cheng
Prof. Yi-ke Guo
Prof. Jimmy Lin
Prof. Xiaohua Tony Hu (Chair) (
)
Dr. Raghunath Nambiar
Prof. Jian Pei
Prof. Vijay Raghavan
Prof. Amit Sheth
Prof. Matthew Smith
Dr. Shusaku Tsumoto
Prof. Athanasios Vasilakos
Prof. Qiang Yang
Pro. Wei Wang
