Dr. Guruduth Banavar
Names,Organization,Location
Dr. Sudarsan Rachuri
Prof. Lyle Ungar
Prof. Philip S. Yu
Prof. James Joshi
Prof. George Karypis
Prof. Ling Liu
Dr. Ronay Ak
Dr. Rama Govindaraju
Dr. Toyotaro Suzumura
Dr. Yinglong Xia
Prof. Aki-Hiro Sato
Dr. Weijia Xu
Prof. Yi Fang
Dr. Felix Gessert
Prof. Hanghang Tong
Prof. Lin-Ching Chang
Prof. Mohammad Al Hasan (Hasan)
Prof. Jianwu Wang
Prof. Balaji Palanisamy
Dr. Shipeng Yu
Prof. Jianliang Gao
Prof. Yuan An
Dr. Mark Hedges
Prof. Houman Homayoun
Prof. Dominik Slezak
Prof. Yu-ru Lin
Dr. Amr Awadallah
Prof. Nick Cercone
Mr. Wo Cheng
Dr. Xueqi Cheng
Prof. Xiaohua Tony Hu (Chair) (
)
Dr. Raghunath Nambiar
Prof. Jian Pei
Prof. Vijay Raghavan
Prof. Amit Sheth
Prof. Matthew Smith
Dr. Shusaku Tsumoto
Prof. Yike Guo
Name
James Abello
Karl Aberer
Ankit Agrawal
Gagan Agrawal
Gail-Joon Ahn
Costan Alexandru
Nour Ali
Ilkay Altintas
Priscilla Amalraj
Suprasad Amari
Amy Apon
Danilo Ardagna
Chris Argenta
Antonio Badia
Nathalie Baracaldo
Gustavo Batista
Peter Baumann
Roberto J. Bayardo
David Belanger
Boualem Benatallah
Daniel Berrar
Michael Berthold
Elisa Bertino
Martin Berzins
Bishwaranjan Bhattacharjee
Rajdeep Bhowmik
Albert Bifet
Francesco Bonchi
Mario Bravetti
Marian Bubak
Hoang Bui
Ali R. Butt
Surendra Byna
Ricardo J. G. B. Campello
Michael Carey
Barbara Carminati
Carlos Castillo
Abhishek Chandra
Edward Chang
Rong Chang
Periklis Chatzimisios
Philip K. Chan
Enhong Chen
Haifeng Chen
Jinjun Chen
Keke Chen
Lei Chen
Ming-Syan Chen
Shiping Chen
Shu-Ching Chen
Wei Chen
Yong Chen
Zhiyuan Chen
James Cheng
Reynold Cheng
Kenneth Chiu
Gregory Chockler
Wonik Choi
Andrea Clematis
Frans Coenen
Gao Cong
Alexandru Costan
Edward Curry
Alfredo Cuzzocrea
Ernesto Damiani
Noel De Palma
Sven Dietrich
Debora Donato
Matthieu Dorier
Xiaoyong DU
Saso Dzeroski
Yi Fang
Elena Ferrari
Dmitriy Fradkin
Bernd Freisleben
Yun Fu
Johannes Furnkranz
Ada Gavrilovska
Felix Gessert
Anastasios Gounaris
Paul Grefen
Clemens Grelck
Sandeep Gupta
Taghi M. Khoshgoftaar
Wook-Shin Han
Mohammad Hasan
Claudia Hauff
Daqing He
Mark Hedges
H. Howie Huang
Yihua Huang
Fabrice Huet
Marty Humphrey
Hai Jin
Gareth Jones
David Kaeli
Panos Kalnis
Vana Kalogeraki
Jaap Kamps
Zoi Kaoudi
Yiping Ke
Jeremy Kepner
Latifur Khan
Harald Kornmayer
Alex Kuo
Eren Kursun
Alexandros Labrinidis
Alberto Laender
Mounia Lalmas
John Lange
Alexey Lastovetsky
Kisung Lee
Laurent Lefevre
Chengkai Li
Keqin Li
Yunyao Li
Zhanhuai Li
Zhoujun Li
Yu-ru Lin
Zhiqiang Lin
Eric Lo
Jay Lofstead
Claudio Lucchese
Bradley Malin
Tiziana Margaria
Amirreza Masoumzadeh
Shravan Matthur Narayanamurthy
Carolyn McGregor
Xiaofeng Meng
John Miller
Shinichi Morishita
Sebastien Mosser
Hidemoto Nakada
Chetan Narasimha
Tom Narock
Surya Nepal
Jian-Yun Nie
Dimitrios Nikolopoulos
Alexandros Ntoulas
Zoran Obradovic
Silvia Olabarriaga
Balaji Palanisamy
Manish Parashar
Jian Pei
Barbara Pernici
Peter Pesti
Evaggelia Pitoura
Sunil Prabhakar
Qian Zhu
Baojun Qiu
Lakshmish Ramaswamy
Jan Ramon
Sanjay Ranka
Louiqa Raschid
Chandan Reddy
Berthold Reinwald
Abdelmounaam Rezgui
Philip Rhodes
Matei Ripeanu
Paolo Romano
Indrajit Roy
Rizos Sakellariou
Jeffrey Saltz
Pierangela Samarati
Aki-Hiro Sato
Bin Shao
Saeedeh Shekarpour
Haiying Shen
Amit Sheth
Alkis Simitsis
Fengguang Song
Shaoxu Song
Eleni Stroulia
Jianwen Su
Hassan Takabi
Doug Talbert
Domenico Talia
Yuzhe (Richard) Tang
Vahid Taslimitehrani
Sotiris Tasoulis
Hanghang Tong
Hong-Linh Truong
Vassilis Tsotras
Dimitrios Tsoumakos
Mauricio Tsugawa
Frias-Martinez Vanessa
Ana Lucia Varbanescu
Yannis Velegrakis
Maksims Volkovs
Chonggang Wang
Jianwu Wang
Ting Wang
Ran Wolff
Ka-Chun Wong
Raymond Chi-Wing Wong
Sai Wu
Jian Xu
Weijia Xu
Ramin Yahyapour
Feng Yan
Rui Yan
Haiqin Yang
Jian Yang
Xiaoyan Yang
Xin Yao
Jianwei Yin
Jeffrey Xu Yu
Philip Yu
Shipeng Yu
Xin Yuan
Aidong Zhang
Kunpeng Zhang
Meihui Zhang
Nengsheng Zhang
Rui Zhang
Ming Zhao
Vincent Zheng
Guangyou Zhou
Zhi-Hua Zhou
Bing Zhu
Hill Zhu
Name
Slim Baltagi
Danny Bickson
Burcin Bozkaya
Nitesh Chawla
Haifeng Chen
Ming-Syan Chen
Cho-Yu Jason Chiang
Miyuru Dayarathna
Julia Deng
Bala Deshpande
Debora Donato
Sameh Elnikety
Andrew Fano
Faisal Farooq
Harry Foxwell
Dario Garcia
