Organization Committee Members
Dr. Ricardo Baeza-Yates
Prof. Xiaohua Tony Hu
Dr. Jeremy Kepner
Prof. Jian-Yun Nie
Prof. Zoran Obradovic
Dr. Toyotaro Suzumura
Dr. Raghunath Nambiar
Dr. Sudarsan  Rachuri
Dr. Rumi Ghosh
Dr. Chonggang Wang
Dr. Hui Zang
Prof. Alfredo Cuzzocrea
Prof. Jian Tang
Prof. Masashi Toyoda
Prof. Feng Chen
Dr. Jianliang Gao
Dr. Mu Qiao
Prof. Alexandru Costan
Prof. Jingrui He
Prof. Feng Luo
Prof. Yicheng Tu
Prof. Yuan An
Prof. Yihua Huang
Prof. Wookey Lee
Dr. Dominik Slezak
Prof. Jianwu Wang
Dr. Amr Awadallah
Dr. Xueqi Cheng
Prof. Yi-ke Guo
Prof. Jimmy Lin
Prof. Xiaohua Tony Hu
Dr. Raghunath Nambiar
Prof. Jian Pei
Prof. Vijay Raghavan
Prof. Amit Sheth
Prof. Matthew Smith
Dr. Shusaku Tsumoto
Prof. Athanasios Vasilakos
Prof. Qiang Yang
Pro. Wei Wang
""
Program Committee Members
Naoki Abe
Karl Aberer
Gagan Agrawal
Danilo Ardagna
Peter Baumann
Elisa Bertino
Albert Bifet
Francesco Bonchi
Ricardo J. G. B. Campello
Barbara Carminati
Carlos Castillo
Philip Chan
Edward Chang
Nitesh Chawla
Sanjay Chawla
Keke Chen
Ming-Syan Chen
Shu-Ching Chen
Wei Chen
Reynold Cheng
Xueqi Cheng
Frans Coenen
Gao Cong
Bin Cui
Alfredo Cuzzocrea
Alfredo Cuzzocrea
Ernesto Damiani
Xiaoyong DU
Johannes Furnkranz
Wook-Shin Han
Howard Ho
Xiaohua Hu
Jimmy Huang
Hai Jin
Panos Kalnis
Vana Kalogeraki
Latifur Khan
Taghi Khoshgoftaar
Alex Kuo
Keqin Li
Yunyao Li
Huan Liu
Tie-Yan Liu
Eric Lo
Jay Lofstead
Bradley Malin
Wagner Meira
John Miller
Shinichi Morishita
Dimitrios Nikolopoulos
Beng Chin Ooi
Jian Pei
Barbara Pernici
Evaggelia Pitoura
Lakshmish Ramaswamy
Huzefa Rangwala
Berthold Reinwald
Rizos Sakellariou
Pierangela Samarati
Amit Sheth
Alkis Simitsis
Domenico Talia
Jie Tang
Hanghang Tong
Hong-Linh Truong
Vincent Tseng
Vassilis Tsotras
Ke Wang
Liqiang Wang
Wei Wang
Ji-Rong Wen
Jianliang Xu
Jian Yang
Philip S. Yu
Xin Yuan
Xiaofang Zhou
Zhi-Hua Zhou
Hill Zhu
Yanmin Zhu
Charu Aggarwal
Ankit Agrawal
Gail-Joon Ahn
Amy Apon
Antonio Badia
Boualem Benatallah
Martin Berzins
Kanishka Bhaduri
Bishwaranjan Bhattacharjee
Mario Bravetti
Hoang Bui
Ali R. Butt
Surendra Byna
Cornelia Caragea
David Carrera
Abhishek Chandra
Lijun Chang
Lin-Ching Chang
Rong Chang
Chun-Fu (Richard) Chen
Enhong Chen
Shiping Chen
Yong Chen
Zhiyuan Chen
James Cheng
Malolan Chetlur
Kenneth Chiu
Wonik Choi
Andrea Clematis
Ayse Coskun
Alexandru Costan
Sadie Creese
Edward Curry
Brian D. Davison
Miyuru Dayarathna
Noel De Palma
Eduard Deagut
Boris Delibasic
Marios Dikaiakos
Nemanja Djuric
Debora Donato
Matthieu Dorier
Zhicheng Dou
Nick Duffield
Magdalini Eirinaki
Dick Epema
Yi Fang
Dmitriy Fradkin
Ada Wai-Chee Fu
Yun Fu
Bin Gao
Dario Garcia
Mohamed Ghalwash
Harald Gjermundrod
Bart Goethals
Anastasios Gounaris
Paul Grefen
Clemens Grelck
Le Gruenwald
Amarnath Gupta
Sandeep Gupta
Vijay K. Gurbani
Masatoshi Hanai
Mohammad Hasan
Claudia Hauff
Bingsheng He
Hiroshi Horii
Xia Hu
Jun Huan
Ruihong Huang
Yihua Huang
Fabrice Huet
Marty Humphrey
Hiroshi Inoue
Kazuaki Ishizaki
Saltz Jeffrey
Yan Jia
Milos Jovanovic
David Kaeli
Jaap Kamps
Zoi Kaoudi
George Karypis
Kiyokuni Kawachiya
Hideyuki Kawashima
Yiping Ke
Vlado Keselj
Alexander Kotov
Eren Kursun
Alberto Laender
Jack Lange
Alexey Lastovetsky
Kisung Lee
Chengkai Li
Pan Li
Xue Li
Zhoujun Li
Hongfei Lin
Shou-De Lin
Chengfei Liu
Xiaohua Liu
Yan Liu
Yiqun Liu
Shiyong Lu
Claudio Lucchese
Heiko Ludwig
feng luo
Qiong Luo
Kwan-Liu Ma
Amirreza Masoumzadeh
George Mathew
Satoshi Matsuoaka
Satoshi Matsuoka
Carolyn McGregor
Edgar Meij
Christoph Meinel
Ningfang Mi
Taneli Mielikainen
Enoki Miki
Christine Morin
John P. Morrison
Alessandro Moschitti
Sebastien Mosser
Abdullah Mueen
Hidemoto Nakada
Wolfgang Nejdl
Surya Nepal
Alexandros Ntoulas
Salvatore Orlando
Balaji Palanisamy
Dino Pedreschi
Dana Petcu
Tao Qin
Baojun Qiu
Christoph Quix
Tilmann Rabl
Vladan Radosavljevic
Milos Radovic
Jan Ramon
Andreas Rauber
Stephan Reiff-Marganiec
Chiara Renso
Abdelmounaam Rezgui
Philip Rhodes
Uwe Roehm
Paolo Romano
Lotfi Ben Romdhane
Aki-Hiro Sato
Martin Schulz
Bruno Schulze
Matthias Schunter
Assaf Schuster
Jangwon Seo
Bin Shao
Haiying Shen
Conglei Shi
Weidong Shi
Lidan Shou
Yogesh Simmhan
Sean Smith
Fengguang Song
Shaoxu Song
Gregor Stiglic
Torsten Suel
Aixin Sun
Hassan Takabi
Doug Talbert
Pang-Ning Tan
Wei Tan
Katsumi Tanaka
Gabriel Tanase
Jian Tang
Yusuke Tanimura
Vahid Taslimitehrani
Shirish Tatikonda
Doug Thain
Andrew Trotman
Dimitrios Tsoumakos
Mauricio Tsugawa
Takanori Ueda
Frias-Martinez Vanessa
Ana Lucia Varbanescu
Carlos Varela
Anthony Ventresque
Maksims Volkovs
Slobodan Vucetic
Milan Vukicevic
Thomas Walsh
Xiaojun Wan
Bin Wang
Cho-Li Wang
Jianwu Wang
Jun Wang
Shuliang Wang
Ting Wang
Ran Wolff
Ka-Chun Wong
Raymond Wong
Stefan Wrobel
Lingfei Wu
Sai Wu
Yongwei Wu
Hui Xiong
Hongbo Xu
Jian Xu
Jun Xu
Weijia Xu
Feng Yan
Rui Yan
Haiqin Yang
Xiaoyan Yang
Jianwei Yin
Yiming Ying
Chun-Nam Yu
Qi Yu
Shui Yu
Weikuan Yu
Carlo Zaniolo
Chengxiang Zhai
Kai Zhang
Kunpeng Zhang
Meihui Zhang
Min Zhang
Rui Zhang
Wenjie Zhang
Ya Zhang
Ming Zhao
Fang Zhou
Guangyou Zhou
Nianjun (Joe) Zhou
Feida Zhu
Ashok Joshi
Ramesh Chitor
Nicolas Poggi
Rekha Singhal
Han Yang
Daniel Bowers
Joseph Kasten
Pouria PirzadehL
Alain Crolotte
Adel Taweel
Akon Dey
William Z. Bernstein
Cheng Bo
Burcin Bozkaya
Carlos Castillo
Zhengzhang Chen
