Organization Committee Members
Srinivas Aluru
Chengxiang Zhai
Chris Jermaine
Xintao Wu
Li Xiong
Prof. Wei-Shinn Ku
Prof. Carlos Ordonez
Prof. San-Woo Jun
Prof. Jia Zou
Prof. Yannis Velegrakis
Prof. Masatoshi Yoshikawa
Prof. Prasenjit Mitra
Prof. Chandan Reddy
Prof. Murat Kantarcioglu
Prof. Anna Squicciarini
Prof. Spyro Blanas
Prof. Kai Chen
Prof. Xiaoqian Jiang
Prof. Huzefa Rangwala
Olivera Kotevska
Siyuan Lu
Weija Xu
Eyhab Ai-Masri
Zhiyuan Chen
Jeff Saltz
Rafal A. Angryk
Hui Zhang
Yicheng Tu
Xingquan Zhu
Dr. Erin-Elizabeth A. Durham
Xiaohua Tony Hu
Yubao Wu
Berkay Aydin
Xiaohua Tony Hu
""
Program Committee Members
Karl Aberer
Bijaya Adhikari
Nitin Agarwal
Ankit Agrawal
Irfan Ahmed
Amy Apon
Frederico Araujo
Chris Argenta
Sabeur Aridhi
Ignacio Arnaldo
Abolfazl Asudeh
Manos Athanassoulis
Nathalie Baracaldo
Peter Baumann
Roberto J. Bayardo
Ladjel Bellatreche
Martin Berzins
Bishwaranjan Bhattacharjee
Rui Bo
Angela Bonifati
Luca Bonomi
Larbi Boubchir
Mario Bravetti
Hoang Bui
Ali R. Butt
Suren Byna
Aylin Caliskan
Alberto Cano
Jiannong Cao
Lei Cao
Yang Cao
Cinzia Cappiello
Michael Carey
Paolo Ceravolo
Abhishek Chandra
Lin-Ching Chang
Dunren Che
Dong Chen
Enhong Chen
Feng Chen
Huiyuan Chen
Jinghui Chen
Keke Chen
Shu-Ching Chen
Yong Chen
Zehua Chen
Zhengzhang Chen
Zhiyuan Chen
Long Cheng
Reynold Cheng
Malolan Chetlur
Kenneth Chiu
Wonik Choi
Michele Ciavotta
Andrea Clematis
Pietro Colombo
Guojing Cong
Alexandru Costan
Alfredo Cuzzocrea
Ariyam Das
Brian D. Davison
Miyuru Dayarathna
Noel De Palma
Alex Delis
Tyler Derr
Sven Dietrich
Marios Dikaiakos
Junhua Ding
Wanying Ding
Xiaoning Ding
Nemanja Djuric
Khoa Doan
Debora Donato
Zhicheng Dou
Wei Du
Xiaoyong DU
Nick Duffield
Dmitry Duplyakin
Magdalini Eirinaki
Joao Eduardo Ferreira
George Fletcher
Dmitriy Fradkin
Bernd Freisleben
Vanessa Frias-Martinez
Yanjie Fu
Paul Suganthan G C
Hancheng Ge
Felix Gessert
Mohamed Ghalwash
Gabriele Gianini
Anastasios Gounaris
Christan Grant
Le Gruenwald
Qiang Guan
Michael Gubanov
Dimitrios Gunopulos
Sairam Gurajada
Vijay K. Gurbani
Masatoshi Hanai
Chen Haopeng
Mohammad Hasan
Ragib Hasan
Naeemul Hassan
Bingsheng He
Daqing He
Lifang He
Teruo Higashino
Nguyen Ho
Tamjidul Hoque
Donghui Hu
Qian Hu
Mengdi Huai
Luke Huan
Chao Huang
Jimmy Xiangji Huang
Hiroshi Inoue
Kazuaki Ishizaki
Arash Jalal Zadeh Fard
Hai Jin
Ruoming Jin
Ruoming Jin
Panos Kalnis
Vana Kalogeraki
Eser Kandogan
Verena Kantere
Hamid Karimi
Anuj Karpatne
Kiyokuni Kawachiya
Hideyuki Kawashima
Yiping Ke
Vlado Keselj
Lamisah Khan
Taghi Khoshgoftaar
Jinha Kim
Deguang Kong
Xiangjie Kong
Xiangnan Kong
Harald Kornmayer
Amey Kulkarni
Eren Kursun
Kevin Labille
Alberto Laender
Chao Lan
Jack Lange
Alexey Lastovetsky
Alexander Lazovik
Eleazar Leal
Ulf Leser
Ang Li
Jundong Li
Pan Li
Sheng Li
Yuchen Li
Defu Lian
Xiang Lian
Hongwei Liang
Ee-Peng LIM
Hongfei Lin
Kaixiang Lin
Zhe Lin
An Liu
Chuanren Liu
Hongfu Liu
Huan Liu
Jinfei Liu
Ninghao Liu
Tongping Liu
Xiao Liu
Xiong Liu
Yang Liu
Zhining Liu
Zhuotao Liu
Zitao Liu
Giovanni Livraga
Eric Lo
Jay Lofstead
Cheng Long
Jian Lou
Chang-Tien Lu
Hua Lu
Shiyong Lu
Wei Lu
Heiko Ludwig
feng luo
Qiong Luo
Kwan-Liu Ma
Shuai Ma
Yao Ma
Sanjay Madria
Hiroshi Mamitsuka
Saurav Manchanda
Tiziana Margaria
Fabrizio Marozzo
George Mathew
Carolyn McGregor
Suzanne McIntosh
"Wagner Meira, Jr."
Xiaofeng Meng
Ningfang Mi
Taneli Mielikainen
Shinichi Morishita
Mirella Moro
Sebastien Mosser
Abdullah Mueen
Nikhil Muralidhar
Parth Nagarkar
Lifeng Nai
Azad Naik
Ukash Nakarmi
Sriraam Natarajan
Surya Nepal
Jian-Yun Nie
Zhi Nie
Nikola S. Nikolov
Xia Ning
Yue Ning
Alexandros Ntoulas
Salvatore Orlando
Federica Paci
Arindam Pal
Balaji Palanisamy
Bajendra Nath Panda
Gaurav Pandey
George Papadakis
Olga Papaemmanouil
Paolo Papotti
Stefano Paraboschi
Chanyoung Park
Dana Petcu
Hai Phan
Sumit Purohit
Hakim Qahtan
Christoph Quix
Lakshmish Ramaswamy
Jan Ramon
Berthold Reinwald
Abdelmounaam Rezgui
Philip Rhodes
Paolo Romano
Florin Rusu
Abusayeed Saifullah
Rizos Sakellariou
Aki-Hiro Sato
Bruno Schulze
Matthias Schunter
Haiying Shen
Weidong Shi
Simone Silvestri
Fengguang Song
Shaoxu Song
Francesca Spezzano
Venkat Srinivasan
Ajitesh Srivastava
Kostas Stefanidis
Jianwen Su
Guangzhong Sun
Hailong Sun
Domenico Talia
Shanjiang Tang
Yuzhe Tang
Yusuke Tanimura
Dingwen Tao
Vahid Taslimitehrani
Hong-Linh Truong
Vassilis J. Tsotras
Dimitrios Tsoumakos
Mauricio Tsugawa
Guan-hua Tu
Takanori Ueda
Carlos Varela
Binghui Wang
Guoren Wang
Jianguo Wang
Jianwu Wang
Ke Wang
Liqiang Wang
Senzhang Wang
Suhang Wang
Yaqing Wang
Yue Wang
Zhiwei Wang
Zhi Wei
Qingsong Wen
Ran Wolff
Ka-Chun Wong
Raymond Wong
Le Wu
Liang Wu
Panruo Wu
Sai Wu
Yinghui Wu
Yongkai Wu
Yubao Wu
Haoyi Xiong
Depeng Xu
Jian Xu
Jianpeng Xu
Kevin Shuai Xu
Pan Xu
Weijia Xu
Wenjian Xu
Yang Xu
Zhilei Xu
Ramin Yahyapour
Yuhong Yan
Chih-Chieh Yang
Haiqin Yang
Yu Yang
Zhi Yang
Huaxiu Yao
Junjie Yao
Yuan Yao
Xiaoweu Ying
Yiming Ying
Masatoshi Yoshikawa
Guoxian Yu
Philip S. Yu
Qi Yu
Shuhan Yuan
Xin Yuan
Demetrios Zeinalipour-Yazti
Chengxiang Zhai
Aidong Zhang
Chuxu Zhang
Hengtong Zhang
Jianting Zhang
Jiawei Zhang
Kunpeng Zhang
Lu Zhang
Meihui Zhang
Wenjie Zhang
Xiangliang Zhang
Zhao Zhang
Juan Zhao
Ming Zhao
Weiliang Zhao
Xiangyu Zhao
Bolong Zheng
Panpan Zheng
Amelie Chi Zhou
Dawei Zhou
Guangyou Zhou
Nianjun (Joe) Zhou
Xuan Zhou
Yang Zhou
Yao Zhou
Hill Zhu
Yanmin Zhu
Nesreen Ahmed
Ronay Ak
Folami Alamudun
Conrad Albrecht
Khalifeh Aljadda
Golnaz Badr
Nicholas Becker
Mansurul Bhuiyan
Burcin Bozkaya
Mihai Capot_
Cho-Yu Jason Chiang
Tatsuhiro Chiba
Miyuru Dayarathna
Harshad Deshmukh
Vasilis Efthymiou
Nancy Grady
Marko Grobelnik
Mahantesh Halappanavar
Mark-Alexander Henn
Guenter Hesse
Bo Hu
Lilong Jiang
David José da Silva Aresta Belo
Erdem Kaya
Olivera Kotevska
Venkat Krishnan
Aaron Gilad Kusne
Kincho H. Law
John Boaz Lee
Chuan Lei
Mengwen Liu
Xiao Liu
Caimei Lu
Qiang Ma
Fernando Marianno
Anantha Narayanan
Abdul Quamar
Gyan Ranjan
Arnab Roy
Lukas Rupprecht
Amit Saha
Ramendra Sahoo
Koichi Shirahata
Rekha Singhal
Frank Soboczenski
Toyotaro Suzumura
Rohit Taneja
Adel Taweel
Vladimir Trajkovik
Rashi Verma
Carl Willis-Ford
Theodore Willke
Michael Wolf
Yingjun Wu
Yinglong Xia
Han Yang
Jin Yang
Kai Yang
Mo Yu
Kai Zeng
Bo Zhang
Haozhen Zhao
Rong Zhou
Zhongfang Zhuang
""
Keynote Speakers
""
